Ritz wavelength (nm),V I (2.1e-02),V II (9.7e-01),V III (1.1e-02)
330.917623,1.036e+2,,
331.48419,,1.340e+3,
331.516995,,1.322e+3,
332.153362,,3.633e+3,
332.985321,3.152e+2,,
333.78225,,5.118e+3,
334.58636,,9.188e+2,
335.635052,1.566e+2,,
336.148997,,1.021e+3,
336.554984,1.755e+2,,
337.605238,9.523e+1,,
337.738984,1.457e+2,,
337.762308,4.013e+2,,
338.62901,,8.093e+1,
338.87076,,2.955e+1,
339.264548,,1.103e+3,
339.757621,5.555e+1,,
340.0392,1.938e+2,,
340.06701,,4.500e+1,
340.2566,1.156e+2,,
340.43881,,1.128e+3,
342.0088,,6.413e+1,
342.49068,,4.958e+1,
344.30049,,6.780e+1,
345.71429,,2.822e+3,
348.592123,,2.716e+3,
349.69306,9.770e+1,,
349.70267,,4.269e+3,
350.08087,1.067e+2,,
350.443577,,9.191e+3,
351.729954,,2.987e+4,
352.001914,,4.169e+3,
352.18341,,1.917e+3,
352.31113,,5.712e+1,
352.471608,,5.648e+3,
352.97333,3.802e+2,,
353.077216,,1.654e+4,
353.22689,,6.111e+2,
353.36758,6.393e+2,,
353.37542,1.471e+2,,
354.34937,1.565e+2,,
354.519584,,2.625e+4,
354.53345,1.629e+2,,
355.3268,1.428e+2,,
355.679988,,4.519e+4,
356.617802,,4.686e+3,
357.43487,,1.818e+3,
358.97592,,2.315e+4,
359.202173,,2.747e+4,
359.333321,,1.536e+4,
361.892664,,4.913e+3,
362.04817,,7.437e+2,
362.12085,,3.479e+3,
363.90212,1.595e+2,,
364.47066,9.399e+2,,
366.13648,,3.445e+3,
366.35915,5.787e+2,,
366.77379,7.407e+2,,
366.94227,,6.859e+3,
367.12027,2.294e+2,,
367.24022,5.410e+2,,
367.34028,9.481e+2,,
367.54969,6.975e+1,,
367.56993,1.641e+2,,
367.66844,9.044e+2,,
368.01128,1.145e+3,,
368.31142,3.998e+2,,
368.43322,8.473e+1,,
368.62571,2.780e+2,,
368.74827,1.365e+3,,
368.80682,9.547e+2,,
369.02794,6.741e+2,,
369.22194,1.249e+3,,
369.53391,1.673e+3,,
369.58647,9.499e+2,,
370.01244,,1.108e+3,
370.03386,,5.270e+3,
370.35678,3.341e+3,,
370.46999,1.749e+3,,
370.50332,6.404e+2,,
370.58153,5.354e+1,,
370.60294,1.699e+2,,
370.87137,2.288e+2,,
371.11193,,1.253e+3,
371.35332,1.567e+2,,
371.546402,,2.157e+4,
372.198976,1.427e+2,,
372.33239,3.858e+1,,
372.73411,,1.923e+4,
372.83437,,4.148e+3,
372.903047,1.298e+2,,
373.274763,,1.783e+4,
373.51562,,1.126e+3,
373.601432,,1.360e+3,
373.874652,2.113e+2,,
374.579927,,1.499e+4,
374.79804,1.885e+2,,
375.086781,,1.311e+4,
375.12283,,2.165e+3,
376.022075,,2.339e+3,
376.31368,1.548e+2,,
376.87652,,5.957e+1,
377.096615,,1.141e+4,
377.29643,,1.198e+3,
377.51702,9.536e+1,,
377.834345,,2.318e+3,
377.86771,1.884e+2,,
377.96398,7.539e+1,,
378.13779,1.033e+2,,
378.71383,7.669e+1,,
378.723914,,3.247e+3,
379.03237,2.841e+2,,
379.04638,2.087e+2,,
379.49493,8.205e+2,,
379.64636,5.916e+1,,
379.99082,2.771e+2,,
380.34774,3.997e+2,,
380.37809,1.254e+2,,
380.6796,2.549e+2,,
380.75041,1.886e+2,,
380.83058,,3.750e+1,
380.85188,3.160e+2,,
380.96008,1.260e+2,,
381.349106,4.319e+2,,
381.538207,,6.209e+3,
381.79754,1.125e+2,,
381.82414,7.463e+2,,
381.99643,1.949e+2,,
382.029161,8.629e+1,,
382.14863,1.873e+2,,
382.200515,3.392e+2,,
382.28888,2.771e+2,,
382.32121,2.786e+2,,
382.855694,1.149e+3,,
383.9001,2.113e+2,,
384.0134,1.470e+2,,
384.04279,6.163e+2,,
384.074941,1.701e+3,,
