Ritz wavelength (nm),Co I (5.3e-02),Co II (9.5e-01),Co III (1.2e-03)
231.13653,,1.708e+1,
231.143881,,7.503e+0,
231.160408,,1.107e+5,
231.16903,,4.175e+1,
231.185888,,7.613e+1,
231.18609,,1.683e+1,
231.255664,,8.704e+3,
231.277542,,1.730e+1,
231.28033,,7.944e+2,
231.309133,,3.156e+1,
231.325187,,2.547e+1,
231.334502,,3.894e+1,
231.360427,,1.047e+4,
231.40292,,7.772e+1,
231.405636,,8.255e+4,
231.454631,,2.956e+1,
231.465366,,1.529e+3,
231.47227,,3.495e+0,
231.497459,,5.521e+4,
231.541333,,1.737e+1,
231.562182,,2.046e+1,
231.57436,,8.760e+2,
231.624515,,7.841e+1,
231.682225,,7.276e+0,
231.706988,,8.748e+3,
231.720373,,9.983e+0,
231.76023,,2.734e+1,
231.84248,,2.750e+3,
231.87173,,3.928e+0,
231.900056,,6.557e+0,
231.938997,,1.463e+2,
231.9642,,,7.376e-4
231.98269,,4.612e+1,
231.98326,,9.184e+2,
231.99181,,3.168e+2,
231.99901,,2.318e+1,
232.030587,,1.296e+2,
232.05209,,4.488e+0,
232.119704,,2.012e+1,
232.122874,,1.499e+3,
232.132161,,1.113e+1,
232.146151,,2.674e+1,
232.158821,,4.820e+0,
232.16655,,,9.900e-4
232.200244,,8.654e+0,
232.200697,,5.976e+2,
232.217645,,9.450e+0,
232.23483,,1.961e+0,
232.245463,,1.247e+1,
232.306345,,6.619e+0,
232.314,1.258e+3,,
232.421606,,4.299e+1,
232.423903,,4.919e+3,
232.427967,,6.560e+2,
232.432069,,2.639e+4,
232.444084,,1.941e+0,
232.482505,,6.955e+0,
232.490253,,2.767e+0,
232.5537,2.586e+2,,
232.5774,,6.337e+2,
232.58416,,8.949e+0,
232.609838,,1.567e+4,
232.613486,,2.727e+4,
232.64726,,3.757e+4,
232.6791,,3.677e+0,
232.762792,,5.439e+1,
232.767524,,4.440e+3,
232.783839,,3.458e+0,
232.801958,,9.396e+1,
232.911025,,3.316e+3,
233.035693,,1.731e+4,
233.05616,,3.266e+1,
233.150781,,1.415e+1,
233.183316,,5.251e+0,
233.267198,,2.215e+1,
233.282604,,4.333e+1,
233.28396,,6.799e+2,
233.284487,,1.825e+2,
233.292779,,1.364e+1,
233.34491,,1.931e+1,
233.37187,,1.215e+1,
233.40674,,1.877e+3,
233.48861,,2.464e+2,
233.505479,,6.691e+0,
233.6001,9.209e+2,,
233.62294,,1.030e+4,
233.63327,,5.500e+0,
233.67143,,3.580e+1,
233.699759,,3.033e+3,
233.724321,,4.227e+1,
233.732278,,5.263e+2,
233.790497,,1.179e+4,
233.8272,,6.667e+0,
233.8663,8.872e+2,,
233.872813,,7.567e+2,
233.903301,,3.223e+3,
233.959431,,1.958e+1,
234.111621,,8.635e+3,
234.118355,,4.134e+1,
234.131614,,2.163e+0,
234.331612,,5.595e+2,
234.427311,,1.968e+4,
234.462843,,6.139e+3,
234.46653,,2.278e+1,
234.470768,,3.728e+1,
234.477858,,1.387e+2,
234.54959,,3.260e+3,
234.564693,,6.665e+0,
234.56613,,3.913e+0,
234.656236,,7.024e+3,
234.711609,,1.989e+3,
234.73989,,3.408e+4,
234.746621,,7.341e+0,
234.758072,,6.457e+0,
234.780882,,4.614e+3,
234.835884,,4.335e+2,
234.944618,,4.429e+0,
234.991869,,2.981e+1,
235.00686,,4.160e+0,
235.013929,,8.459e+0,
235.019958,,9.261e+0,
235.111265,,4.042e+1,
235.116474,,1.055e+3,
235.17956,,2.365e+2,
235.184099,,1.212e+3,
235.221029,,1.581e+3,
235.26415,,6.088e+0,
235.31277,,2.768e+2,
235.3367,5.051e+2,,
235.342214,,6.429e+4,
